name,team,position,expected_assists_1,expected_assists_2,expected_assists_3,expected_assists_4,expected_assists_5,expected_assists_6,expected_assists_7,expected_assists_8,expected_assists_9,expected_assists_10,expected_assists_11
Denis Franchi,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dermot Mee,,,,,,,,,,,,,
Detlef Esapa Osong,,,,,,,,,,,,,
Devan Tanton,,,,,,,,,,,,0.0,0.0
Diego Manuel Jadon da Silva Moreira,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Pereira,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock Origi,,,,,,,0.0,0.0,0.16,0.0,0.0,0.0,0.0
Djordje Petrovic,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Dos Santos Martins,,,,,,,,,,,,,
Dominic Sadi,,,,,,,,,,,,,
Dovydas Sasnauskas,,,,,,,,,,,,,
Eddie Beach,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Adebayo,12.0,FWD,0.09,,0.06,0.01,0.01,0.0,0.0,0.01,0.02,0.0,0.0
Elijah Campbell,,,,,,,,,,,,,
Elliot Thorpe,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enes Ãnal,,,,,,,,,,,,,
Enock Agyei,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enso GonzÃ¡lez,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Brierley,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethan Nwaneri,,,,,,,,,,,,,
Ethan Wheatley,,,,,,,,,,,,,
Fabian Mrozek,,,,,,,,,,,,,
Filip Marschall,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finley Munroe,,,,,,,,,,,,,
Fletcher Holman,,,,,,,,,,,,,
FodÃ© Ballo-TourÃ©,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Umeh-Chibueze,,,,,,,,,,,,,
Fred Onyedinma,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Osho,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Earthy,,,,,,,,,,,,,
Giovanni Reyna,,,,,,,,,,,,,
Glen Rea,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Montiel,,,,,0.0,0.0,0.01,0.06,0.0,0.01,0.0,0.0,0.0
Gustavo Hamer,,,,0.12,0.02,0.09,0.19,0.0,0.25,0.03,0.1,0.0,0.05
Habeeb Ogunneye,,,,,,,,,,,,,
Han-Noah Massengo,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannes Delcroix,,,,,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Amass,,,,,,,,,,,,,
Harvey Griffiths,,,,,,,,,,,,,
Hjalmar Ekdal,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HÃ¡kon Valdimarsson,,,,,,,,,,,,,
Ibrahim SangarÃ©,,,,,,,0.04,0.01,0.04,0.05,0.0,0.01,0.0
IshÃ© Samuels-Smith,,,,,,,,,,,,,
Issa KaborÃ©,12.0,DEF,0.26,,0.0,0.03,0.37,0.01,0.0,0.0,0.01,0.0,0.25
Ivo Grbic,,,,,,,,,,,,,
Jack Cork,6.0,MID,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Harrison,,,,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.02,0.0
Jack Walton,12.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Brown,12.0,FWD,0.0,,0.0,0.0,0.2,0.02,0.01,0.0,0.01,0.0,0.0
Jacob Bruun Larsen,6.0,MID,0.01,,0.01,0.05,0.0,0.0,0.02,0.01,0.0,0.02,0.0
Jacob Wright,,,,,,,,,,,,,
Jadan Raymond,,,,,,,,,,0.0,0.0,0.0,0.0
James Shea,12.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Sweet,,,,,,,,,,,,,
James Trafford,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,,,,0.11,0.01,0.21,0.15,0.33,1.12,0.06,0.59,0.09,0.01
James Wright,,,,,,,,,,,,,
Jamie Donley,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Jamie McDonnell,,,,,,,,,,,,,
Jay Rodriguez,6.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Jayden Danns,,,,,,,,,,,,,
Jayden Luker,,,,,,,,,,,0.0,0.0,0.0
Jean-Ricner Bellegarde,,,,,,,0.01,0.01,0.0,0.0,0.0,0.0,0.05
Jenson Metcalfe,,,,,,,,,,,,,
Ji-Soo Kim,,,,,,,,,,0.0,0.0,0.0,0.0
Jili Buyabu,,,,,,,,,,,0.0,0.0,0.0
Jimi Tauriainen,,,,,,,,,,,,,
Joe Gardner,,,,,,,,,,,,,
Joe Gauci,,,,,,,,,,,,,
Joe Hugill,,,,,,,,,,,,,
Joe Taylor,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe White,,,,,,,,,,,,,
John McAtee,12.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Evans,,,,,,0.0,0.0,0.14,0.0,0.02,0.02,0.0,0.0
Jordan Beyer,6.0,DEF,0.0,,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
Jordan Clark,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Johnson,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Acheampong,,,,,,,,,,,,,
Josh Brooking,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,6.0,MID,0.0,,0.0,0.17,0.01,0.21,0.05,0.05,0.01,0.05,0.06
Josh Cullen,6.0,MID,0.01,,0.32,0.2,0.02,0.19,0.02,0.0,0.05,0.01,0.0
Joshua Duffus,,,,,,,,,,,,,
Joshua King,,,,,,,,,,,,,
Justin Hubner,,,,,,,,,,,,,
JÃ©rÃ©my Doku,,,,,0.0,0.01,0.63,0.3,0.23,0.0,0.16,0.0,0.38
JÃ³hann Berg Gudmundsson,6.0,MID,0.0,,0.11,0.09,0.03,0.01,0.0,0.0,0.0,0.38,0.48
Kadan Young,,,,,,,,,,,,,
Kaden Rodney,,,,,,,,,,,,,
Kaelan Casey,,,,,,,,,,,,,
Kaide Gordon,,,,,,,,,,,,,
Kaine Kesler-Hayden,,,,,,,,,,,,,
Kiano Dyer,,,,,,,,,,,,,
Konstantinos Mavropanos,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristian Sekularac,,,,,,,,,,,,,
Lander Emery,,,,,,,,,,,,,
Lawrence Vigouroux,6.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leigh Kavanagh,,,,,,,,,,,,,
Leo Castledine,,,,,,,,,,,,,
Leon Chiwome,,,,,,,,,,,,,
Lewis Koumas,,,,,,,,,,,,,
Lewis Orford,,,,,,,,,,,,,
Lewis Warrington,,,,,,,,,,,,,
Lorenz Assignon,,,,,,,,,,,,,
Louie Watson,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louis Jackson,,,,,,,,,,,,,
Luca Barrington,,,,,,,,,,,,,
Luca Koleosho,6.0,MID,0.03,,0.09,0.31,0.03,0.02,0.13,0.02,0.01,0.01,0.14
Luis Sinisterra,,,,,,,0.0,0.0,0.06,0.25,0.0,0.0,0.0
Luke Berry,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Chambers,,,,,,,,,,0.0,0.0,0.0,0.0
Luke Freeman,12.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Harris,,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke McNally,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Thomas,,,,,,0.0,0.0,0.01,0.05,0.01,0.02,0.01,0.04
Lyle Foster,6.0,FWD,0.04,,0.0,0.05,0.01,0.0,0.0,0.09,0.25,0.0,0.0
Mackenzie Hunt,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Mads Juel Andersen,12.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahamadou Susoho,,,,,,,,,,,,,
Manuel Benson Hedilazio,6.0,MID,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Marcelo de AraÃºjo Pitaluga Filho,,,,,,,,,,,,,
Mark OâMahony,,,,,,,,,,,,,
Marvelous Nakamba,12.0,MID,0.01,,0.02,0.22,0.0,0.05,0.02,0.1,0.02,0.01,0.0
Matt Macey,12.0,GK,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Whittingham,,,,,,,,,,,,,
Matz Sels,,,,,,,,,,,,,
Mauro Bandeira,,,,,,,,,,,,,
Max Kinsey,,,,,,,,,,,,,
Max Kinsey-Wellings,,,,,,,,,,,,,
Maxime Esteve,,,,,,,,,,,,,
Micah Hamilton,,,,,,,,,,,,,
Michael Dacosta Gonzalez,,,,,,,,,,,,,
Michael Ndiweni,,,,,,,,,,,,,
Michael Obafemi,6.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Olakigbe,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike TrÃ©sor,,,,,,,0.1,0.03,0.0,0.0,0.04,0.0,0.03
Mikey Moore,,,,,,,,,,,,,
Mohammed Kudus,,,,,,0.0,0.0,0.0,0.01,0.0,0.01,0.1,0.22
Morgan Rogers,,,,,,,,,,,,,
Murillo Santiago Costa dos Santos,,,,,,0.0,0.0,0.0,0.01,0.05,0.01,0.01,0.0
Myles Lewis-Skelly,,,,,,,,,,,,,
Myles Peart-Harris,,,,,,,,,,,,,
Nathan Fraser,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Redmond,6.0,MID,0.0,,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.03
NicolÃ¡s DomÃ­nguez,,,,,,,0.0,0.05,0.02,0.17,0.02,0.01,0.03
NicolÃ² Zaniolo,,,,,0.1,0.01,0.27,0.02,0.0,0.0,0.04,0.08,0.01
Noha Lemina,,,,,,,,,,,,,
Norberto Bercique Gomes Betuncal,,,,,,0.05,0.01,0.02,0.0,0.0,0.01,0.0,0.0
NoÃ«l Atom,,,,,,,,,,,,,
Odeluga Offiah,,,,,,,,,,,,,
Odysseas Vlachodimos,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Oliver Arblaster,,,,,,,,,,,,,
Oliver Scarles,,,,,,,,,,,,,
Oliwier Zych,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ollie Harrison,,,,,,,,,,,,,
Owen Beck,,,,,,,,,,,,,
Owen Dodgson,6.0,DEF,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Owen Hampson,,,,,,,,,,,,,
Owen Hesketh,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,12.0,MID,0.0,,0.0,0.56,0.02,0.35,0.02,0.16,0.0,0.01,0.0
Radek VÃ­tek,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radu Dragusin,,,,,,,,,,,,,
Reece Burke,12.0,DEF,0.0,,0.01,0.01,0.0,0.03,0.0,0.04,0.02,0.0,0.0
Reuell Walters,,,,,,,,,,,,,
Rhys Bennett,,,,,,,,,,,,,
Rodrigo Duarte Ribeiro,,,,,,,,,,,,,
Romain Faivre,,,,,,,,,,,,,
RomÃ©o Lavia,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Stutter,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roshaun Mathurin,,,,,,,,,,,,,
Ross Barkley,12.0,MID,0.0,,0.02,0.29,0.0,0.0,0.0,0.0,0.03,0.01,0.01
Ryan Giles,12.0,DEF,0.22,,0.04,0.06,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Ryan Gravenberch,,,,,,,0.0,0.0,0.0,0.01,0.05,0.02,0.08
Ryan OnÃ©,,,,,,,,,,,0.0,0.0,0.0
Sam Curtis,,,,,,,,,,,,,
Sam Proctor,,,,,,,,,,,,,
Saman Ghoddos,,,,,,0.0,0.0,0.03,0.19,0.15,0.02,0.0,0.0
Samuel Bastien,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samy Chouchane,,,,,,,,,,,,,
Sander Berge,6.0,MID,0.0,,0.02,0.01,0.0,0.01,0.06,0.01,0.01,0.01,0.02
Santiago Bueno,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Twine,6.0,MID,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofyan Amrabat,,,,,,,0.0,0.0,0.04,0.12,0.02,0.0,0.0
Steven Benda,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydie Peck,,,,,,,,,,,,,
Tahith Chong,12.0,MID,0.01,,0.04,0.02,0.0,0.0,0.0,0.03,0.06,0.04,0.0
Tawanda Chirewa,,,,,,,,,,,,,
Taylan Harris,,,,,,,,,,,,,
Tayo Adaramola,,,,,,,,,,,,,
Ted Curd,,,,,,,,,,,,,
Teddy Sharman-Lowe,,,,,,,,,,,,,
Temple Ojinnaka,,,,,,,,,,,,,
Thomas Kaminski,12.0,GK,0.0,,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
Tim Krul,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Werner,,,,,,,,,,,,,
Timothy Castagne,,,,,,0.03,0.18,0.05,0.04,0.34,0.08,0.0,0.01
Toby Collyer,,,,,,,,,,,,,
Tom Davies,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
Tom Lockyer,12.0,DEF,0.01,,0.01,0.0,0.0,0.03,0.0,0.0,0.03,0.1,0.0
Tommi O'Reilly,,,,,,,,,,,,,
Travis Hernes,,,,,,,,,,,,,
Treymaurice Nyoni,,,,,,,,,,,,,
Ty Barnett,,,,,,,,,,,,,
Tyler Adams,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Hall,,,,,,,,,,,,,
Tyrique George,,,,,,,,,,,,,
ValentÃ­n Barco,,,,,,,,,,,,,
Valintino Adedokun,,,,,,,,,,,,,0.0
Victor da Silva,6.0,DEF,0.03,,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.02
Vincent Angelini,,,,,,,,,,,,,
Wataru Endo,,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Okoduwa,,,,,,,,,,,,,
Willy Kambwala,,,,,,,,,,,,,
Wilson Odobert,,,,,0.0,0.0,0.0,0.0,0.24,0.47,0.0,0.0,0.01
Wout Weghorst,6.0,FWD,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yago de Santiago Alonso,,,,,,,,,,,,,
Yegor Yarmoliuk,,,,,,,,,,,,,
Yerson Mosquera,,,,,,,,,,,,,
Yunus Konak,,,,,,,,,,,,,
Zack Nelson,,,,,,,,,,,,,0.0
Zak Sturge,,,,,,,,,,,,,
Zeki Amdouni,6.0,FWD,0.0,,0.02,0.18,0.01,0.01,0.0,0.0,0.16,0.0,0.02
ÄorÄe PetroviÄ,,,,,,,,,,,,,
Aaron Ramsey,,,,0.01,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0
Adam Wharton,,,,,,,,,,,,,
Adama TraorÃ©,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Ademola Ola-Adebomi,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Muskwe,12.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aidan Francis-Clarke,12.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Matos,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfie Dorrington,,,,,,,,,,,,,0.0
Alfie Doughty,12.0,DEF,,0.09,0.08,0.22,0.29,0.19,0.15,0.1,0.03,0.02,0.02
Alfie Gilchrist,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Campbell,12.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altay Bayindir,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diallo,,,,,,,,,,,,,0.0
Amara Nallo,,,,,,,,,,,,,
Amari'i Bell,12.0,DEF,,0.01,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0
Ameen Al-Dakhil,6.0,DEF,,0.18,0.01,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0
Anass Zaroury,6.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Andrew Omobamidele,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,,,,,,,,,,0.0,0.27,0.0,0.01
Anssumane Fati Vieira,,,,,0.0,0.01,0.05,0.04,0.0,0.14,0.03,0.0,0.01
Aribim Pepple,12.0,FWD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arijanet Muric,6.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Phillips,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Piesold,,,,,,,,,,,,,
Bailey Peacock-Farrell,6.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bashir Humphreys,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Brereton,,,,,,,,,,,,,
Ben Jackson,,,,,,,,,,,,,
Ben Parkinson,,,,,,,,,,,,,0.0
Benicio Baker-Boaitey,,,,,,,,,,,,,0.0
Benjamin Arthur,,,,,,,,,,,,,
Benjamin Fredrick,,,,,,,,,,,,,
Billy Blacker,,,,,,,,,,,,,
Billy Crellin,,,,,,,,,,,,,
Bobby Thomas,6.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley Ibrahim,,,,,,,,,,,,,0.0
CJ Egan-Riley,6.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callan McKenna,,,,,,,,,,,,,
Callum Marshall,,,,,,,,,,,,,
Callum Scanlon,,,,,,,,,,0.0,0.0,0.0,0.0
Cameron Peupion,,,,,,,,,,,,,
Carlos Baleba,,,,,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0
Carlos Mendes Gomes,12.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlton Morris,12.0,FWD,,0.15,0.13,0.0,0.08,0.02,0.07,0.03,0.0,0.01,0.01
Cauley Woodrow,12.0,FWD,,0.0,0.02,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0
Cesare Casadei,,,,,,,,,,,,,
Charles Sagoe,,,,,,,,,,,,,0.0
Charlie Taylor,6.0,DEF,,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.06,0.01
Chiedozie Ogbene,12.0,FWD,,0.0,0.02,0.01,0.42,0.01,0.48,0.4,0.01,0.01,0.05
Christian Chigozie,,,,,,,,,,,,,
ClÃ©ment Lenglet,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Roberts,6.0,DEF,,0.12,0.1,0.02,0.03,0.01,0.02,0.01,0.0,0.0,0.0
Conor Bradley,,,,,,,,,,,,,
Daiki Hashioka,,,,,,,,,,,,,
Dan Potts,12.0,DEF,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gore,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel MuÃ±oz,,,,,,,,,,,,,
Dara Costelloe,6.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dara O'Shea,6.0,DEF,,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.06,0.01
Darko Churlinov,6.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ozoh,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Deivid Washington de Souza EugÃªnio,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Franchi,6.0,GK,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dermot Mee,,,,,,,,,,,,,
Detlef Esapa Osong,,,,,,,,,,,,,
Devan Tanton,,,,,,,,,,,0.0,0.0,0.0
Diego Manuel Jadon da Silva Moreira,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Pereira,12.0,MID,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock Origi,,,,,,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0
Djordje Petrovic,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Dos Santos Martins,,,,,,,,,,,,,
Dominic Sadi,,,,,,,,,,,,,
Dovydas Sasnauskas,,,,,,,,,,,,,
